Bubble Sort,15635859 nanoseconds,15.6359 milliseconds,0.0156359 seconds
Insertion Sort,6539298 nanoseconds,6.5393 milliseconds,0.0065393 seconds
Selection Sort,7763123 nanoseconds,7.76312 milliseconds,0.00776312 seconds
Merge Sort,862311 nanoseconds,0.862311 milliseconds,0.000862311 seconds
Heap Sort,666256 nanoseconds,0.666256 milliseconds,0.000666256 seconds
Quick Sort,526789 nanoseconds,0.526789 milliseconds,0.000526789 seconds
Cycle Sort,14478229 nanoseconds,14.4782 milliseconds,0.0144782 seconds
3-way Merge Sort,876017 nanoseconds,0.876017 milliseconds,0.000876017 seconds
Counting Sort,131757 nanoseconds,0.131757 milliseconds,0.000131757 seconds
Radix Sort,6959 nanoseconds,0.006959 milliseconds,6.959e-06 seconds
Introsort,370767 nanoseconds,0.370767 milliseconds,0.000370767 seconds
Timsort,768169 nanoseconds,0.768169 milliseconds,0.000768169 seconds

Bubble Sort,12014 nanoseconds,0.012014 milliseconds,1.2014e-05 seconds
Insertion Sort,5755 nanoseconds,0.005755 milliseconds,5.755e-06 seconds
Selection Sort,8593 nanoseconds,0.008593 milliseconds,8.593e-06 seconds
Merge Sort,15995 nanoseconds,0.015995 milliseconds,1.5995e-05 seconds
Heap Sort,9492 nanoseconds,0.009492 milliseconds,9.492e-06 seconds
Quick Sort,4112 nanoseconds,0.004112 milliseconds,4.112e-06 seconds
Cycle Sort,13088 nanoseconds,0.013088 milliseconds,1.3088e-05 seconds
3-way Merge Sort,12360 nanoseconds,0.01236 milliseconds,1.236e-05 seconds
Counting Sort,6374 nanoseconds,0.006374 milliseconds,6.374e-06 seconds
Radix Sort,9216 nanoseconds,0.009216 milliseconds,9.216e-06 seconds
Introsort,28976 nanoseconds,0.028976 milliseconds,2.8976e-05 seconds
Timsort,6980 nanoseconds,0.00698 milliseconds,6.98e-06 seconds

Bubble Sort,1246 nanoseconds,0.001246 milliseconds,1.246e-06 seconds
Insertion Sort,784 nanoseconds,0.000784 milliseconds,7.84e-07 seconds
Selection Sort,1055 nanoseconds,0.001055 milliseconds,1.055e-06 seconds
Merge Sort,4375 nanoseconds,0.004375 milliseconds,4.375e-06 seconds
Heap Sort,1660 nanoseconds,0.00166 milliseconds,1.66e-06 seconds
Quick Sort,1021 nanoseconds,0.001021 milliseconds,1.021e-06 seconds
Cycle Sort,1639 nanoseconds,0.001639 milliseconds,1.639e-06 seconds
3-way Merge Sort,3776 nanoseconds,0.003776 milliseconds,3.776e-06 seconds
Counting Sort,6519 nanoseconds,0.006519 milliseconds,6.519e-06 seconds
Radix Sort,4671 nanoseconds,0.004671 milliseconds,4.671e-06 seconds
Introsort,1429 nanoseconds,0.001429 milliseconds,1.429e-06 seconds
Timsort,1901 nanoseconds,0.001901 milliseconds,1.901e-06 seconds

Bubble Sort,738 nanoseconds,0.000738 milliseconds,7.38e-07 seconds
